klad1_state 1
level 15
lives 5
hasKey 0
bonusLifeGranted 0
enemiesEnabled 1
keyGold 14
goldCollected 0
player 32.000 447.500 1 0.000
key 0
gold 1 352.000 132.000 0
gold 2 544.000 132.000 0
gold 3 32.000 154.000 0
gold 4 96.000 154.000 0
gold 5 32.000 198.000 0
gold 6 96.000 198.000 0
gold 7 384.000 286.000 0
gold 8 448.000 286.000 0
gold 9 640.000 286.000 0
gold 10 448.000 374.000 0
gold 11 160.000 396.000 0
gold 12 224.000 418.000 0
gold 13 288.000 440.000 0
gold 14 512.000 440.000 0
door 352.000 308.000 0
gate 704.000 440.000 0
enemy 0 391.195 139.500 0 0.000
enemy 1 480.000 95.500 1 0.000
brick 288.000 88.000 0 0 0 0
brick 320.000 88.000 0 0 0 0
brick 384.000 88.000 0 0 0 0
brick 448.000 88.000 0 0 0 0
brick 512.000 88.000 0 0 0 0
brick 576.000 88.000 0 0 0 0
brick 608.000 88.000 0 0 0 0
brick 288.000 110.000 0 0 0 0
brick 320.000 110.000 0 0 0 0
brick 480.000 110.000 0 0 0 0
brick 576.000 110.000 0 0 0 0
brick 608.000 110.000 0 0 0 0
brick 288.000 132.000 0 0 0 0
brick 320.000 132.000 0 0 0 0
brick 576.000 132.000 0 0 0 0
brick 608.000 132.000 0 0 0 0
brick 288.000 154.000 0 0 0 0
brick 320.000 154.000 0 0 0 0
brick 352.000 154.000 0 0 0 0
brick 544.000 154.000 0 0 0 0
brick 576.000 154.000 0 0 0 0
brick 608.000 154.000 0 0 0 0
brick 416.000 220.000 0 0 0 0
brick 448.000 220.000 0 0 0 0
brick 480.000 220.000 0 0 0 0
brick 384.000 308.000 0 0 0 0
brick 448.000 308.000 0 0 0 0
brick 128.000 352.000 0 0 0 0
brick 128.000 440.000 0 0 0 0
brick 192.000 440.000 0 0 0 0
brick 864.000 440.000 0 0 0 0
